size;resolution;mask_size;nanoseconds
2;160x90;9x9;6199800
2;160x90;11x11;6954900
2;160x90;13x13;9458800
2;160x90;15x15;12199600
1;80x45;3x3;1089300
1;80x45;5x5;1947300
1;80x45;7x7;3174200
1;80x45;9x9;3525600
1;80x45;11x11;4703400
1;80x45;13x13;6338600
1;80x45;15x15;7536400
5;1280x720;3x3;19651200
5;1280x720;5x5;49477400
5;1280x720;7x7;90669100
5;1280x720;9x9;142527500
5;1280x720;11x11;212440600
5;1280x720;13x13;298678300
5;1280x720;15x15;376652800
4;640x360;3x3;5020900
4;640x360;5x5;12387000
4;640x360;7x7;22595500
4;640x360;9x9;35579500
4;640x360;11x11;53415400
4;640x360;13x13;72936600
4;640x360;15x15;98899100
3;320x180;3x3;2782900
3;320x180;5x5;3502400
3;320x180;7x7;5956000
3;320x180;9x9;9454300
3;320x180;11x11;13367200
3;320x180;13x13;19501800
3;320x180;15x15;24115200
2;160x90;3x3;1166600
2;160x90;5x5;2677200
2;160x90;7x7;3189200
2;160x90;9x9;5030700
2;160x90;11x11;6742900
2;160x90;13x13;9146500
2;160x90;15x15;11921200
1;80x45;3x3;766500
1;80x45;5x5;1530700
1;80x45;7x7;2291500
1;80x45;9x9;3289900
1;80x45;11x11;4549100
1;80x45;13x13;5939200
1;80x45;15x15;7474600
5;1280x720;3x3;18286900
5;1280x720;5x5;43574100
5;1280x720;7x7;83053000
5;1280x720;9x9;136892700
5;1280x720;11x11;194218800
5;1280x720;13x13;280659800
5;1280x720;15x15;398101200
4;640x360;3x3;6218600
4;640x360;5x5;14400100
4;640x360;7x7;22357900
4;640x360;9x9;39499000
4;640x360;11x11;55059500
4;640x360;13x13;81355400
4;640x360;15x15;98595500
3;320x180;3x3;1751100
3;320x180;5x5;3604900
3;320x180;7x7;6020300
3;320x180;9x9;9337600
3;320x180;11x11;14442400
3;320x180;13x13;19145700
3;320x180;15x15;24794200
2;160x90;3x3;1474500
2;160x90;5x5;2292800
2;160x90;7x7;3058700
2;160x90;9x9;4813100
2;160x90;11x11;6772300
2;160x90;13x13;9401700
2;160x90;15x15;12000900
1;80x45;3x3;869300
1;80x45;5x5;1745900
1;80x45;7x7;2215700
1;80x45;9x9;3449100
1;80x45;11x11;4654500
1;80x45;13x13;5957700
1;80x45;15x15;7500200
5;1280x720;3x3;21305700
5;1280x720;5x5;47272700
5;1280x720;7x7;85152700
5;1280x720;9x9;136921300
5;1280x720;11x11;206649500
5;1280x720;13x13;280756300
5;1280x720;15x15;369179800
4;640x360;3x3;5627800
4;640x360;5x5;12016700
